mmdd,prophecy,data_notes,style
12-13,The cold within will not be suffered in silence though the city will be asked for very little today. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
12-14,"Heat makes demands without asking and somehow the streets are, briefly, clean. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
12-14,"In the hours ahead, the cold within will not be suffered in silence and still the water will be asked to carry very little. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
12-15,"Today, heat makes demands without asking and yet the boats are mostly just floating. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
12-15,The cold within will not be suffered in silence while the law shall rest its hand upon no one. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
12-16,Mark it: heat makes demands without asking elsewhere an unusual quiet descends on the streets. You have been warned.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
12-16,"On this day, the ground itself shall register its complaint and yet the water will be asked to carry very little. Let this be known.","• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
12-17,The deep water carries messages best left unread and somehow the reservoir's smallest inhabitants are not here.,"• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
12-17,The water shall conceal what moves within it while no fang shall find purchase today.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
12-18,"Something lurks in the reservoir, and it is not subtle about it while the water chills, privately.","• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
12-18,"On this day, the reservoirs will be alive with oxygen today even as the deep water will offer no warmth today.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
12-19,"On this day, the walls boil with something to say and somehow the water chills, privately.","• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
12-19,"In the hours ahead, heat will be demanded and denied in equal measure yet the reservoirs shall run cold and still.","• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
12-20,"On this day, the radiators are furious elsewhere the bureaucracy rests. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
12-20,The pipes shall speak of what is missing even as the city will hold its breath. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-21,The radiators are furious and yet the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
12-21,"In the hours ahead, the pipes shall speak of what is missing though the streets shall offer silence as a gift.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-22,Mark it: the walls boil with something to say and yet the waiting rooms wait alone. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
12-22,"In the hours ahead, the pipes shall speak of what is missing while the boats shall cross nearly empty. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
12-23,"The walls boil with something to say while no one is getting caught, which feels suspicious. Or don't.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
12-23,"The cold within will not be suffered in silence while need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
12-24,Be advised: heat makes demands without asking and yet the harbor sees little traffic. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
12-24,"When the time comes, heat will be demanded and denied in equal measure though no reckoning shall come today.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
12-25,"Heat makes demands without asking though dogs are, mysteriously, calm. Plan around it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
12-25,"Before it ends, the pipes shall speak of what is missing even as justice will pass through like a shadow.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
12-26,Know this: the radiators are furious and somehow the waiting rooms wait alone. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
12-26,"In the hours ahead, heat will be demanded and denied in equal measure though the streets shall offer silence as a gift. So it shall be.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-27,"Mark it: the walls boil with something to say yet dogs are, mysteriously, calm.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
