prophecy_index,mmdd,prophecy,data_notes
975,11-20,"The signs agree: what was loose will be made tight, and the indoors will burn with quiet conviction.",Number of NYPD arrests: Very High | Number of heat/hot water complaints to 311: High
976,11-21,"When something caged and burning will demand acknowledgment, know also that a hush will settle where it is not welcome.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
977,11-21,"The signs agree: the streets will grow strange in their quiet, and the other shore will remain unvisited.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
978,11-21,First the ferry will cross in near-silence; then nothing will be hidden in the depths for once.,Number of NYC Ferry boardings: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
979,11-22,"As the rootless will thin to near nothing, so too something caged and burning will demand acknowledgment.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
980,11-22,"Mark it well: heat will make its case loudly and without remorse, even as even the wind will lower its voice.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
981,11-22,It will be a time when sound will withdraw so entirely as to become suspicious — and when the ferry will cross in near-silence.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
982,11-23,Warmth will become an argument no one asked for; decay will agree to stay hidden.,Number of heat/hot water complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low
983,11-23,"The unclean will clean itself, briefly, and yet the ground will offer safe passage, strangely.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
984,11-23,"The ground will offer safe passage, strangely, and yet few will seek the other shore.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
985,11-24,"What usually moves unseen will take its leave, even while something caged and burning will demand acknowledgment.",Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
986,11-24,"The underground will go quiet, and yet the underneath will hold its silence.",Number of rodent inspections conducted by NYC: Very Low | Number of unsanitary condition complaints to 311: Very Low
987,11-24,"The signs agree: what rots will do so discreetly, and fewer will wander without shelter.",Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
988,11-25,"The signs agree: what was meant to warm will scorch instead, and what flows will carry a sweetness that cuts.",Number of heat/hot water complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
989,11-25,"What flows will have an opinion and make it felt, and yet what hides below will hide very well.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
990,11-25,"Mark it well: what lies beneath will not be seen, even as gentleness will prevail in the places you least expected it.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very Low
991,11-26,What comes: the depths will be unreadable. What follows: what could wound will choose not to.,Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very Low
992,11-26,"Where the familiar will hold its fangs, there too freedom will be tested.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: High
993,11-26,The caught will be numerous. And beyond that: the ground will be mostly cooperative.,Number of NYPD arrests: High | Number of street condition complaints to 311: Low
994,11-27,"First warmth will become an argument no one asked for; then what was submerged will be visible, whether it wishes to be or not.",Number of heat/hot water complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
995,11-27,First what lies below will be briefly and perhaps uncomfortably visible; then what could wound will choose not to.,Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
996,11-27,"Where no familiar thing will bite, there too most will stay on their own shore.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYC Ferry boardings: Low
997,11-28,Wandering will go unfashionable. And beyond that: decay will remain underground where it belongs.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very Low
998,11-28,"As decay will agree to stay hidden, so too the ground will offer safe passage, strangely.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
999,11-28,It will be a time when roads will be unnervingly obliging — and when few will seek the other shore.,Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
1000,11-29,"Mark it well: fever will insist upon itself behind every door, even as the ground will hold its tongue entirely.",Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Very Low
1001,11-29,"What comes: the ground will offer safe passage, strangely. What follows: the ferry will cross in near-silence.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
